"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
27 Jan 2026 17:00:00.000,6766.326243,-2686.053904,18.536393,1.386721,3.553112,8.677322
27 Jan 2026 17:00:10.000,6779.871476,-2650.395318,105.307158,1.322310,3.578559,8.676682
27 Jan 2026 17:00:20.000,6792.772170,-2614.483651,192.067045,1.257817,3.603727,8.675146
27 Jan 2026 17:00:30.000,6805.027602,-2578.321743,278.807100,1.193261,3.628606,8.672716
27 Jan 2026 17:00:40.000,6816.637267,-2541.912515,365.518383,1.128667,3.653189,8.669392
27 Jan 2026 17:00:50.000,6827.600880,-2505.258968,452.191972,1.064055,3.677469,8.665178
27 Jan 2026 17:01:00.000,6837.918376,-2468.364179,538.818979,0.999447,3.701437,8.660076
27 Jan 2026 17:01:10.000,6847.589909,-2431.231298,625.390547,0.934866,3.725086,8.654091
27 Jan 2026 17:01:20.000,6856.615850,-2393.863544,711.897860,0.870332,3.748410,8.647226
27 Jan 2026 17:01:30.000,6864.996790,-2356.264206,798.332154,0.805869,3.771402,8.639487
27 Jan 2026 17:01:40.000,6872.733533,-2318.436634,884.684716,0.741497,3.794056,8.630881
27 Jan 2026 17:01:50.000,6879.827101,-2280.384242,970.946896,0.677237,3.816365,8.621412
27 Jan 2026 17:02:00.000,6886.278725,-2242.110498,1057.110111,0.613112,3.838325,8.611089
27 Jan 2026 17:02:10.000,6892.089849,-2203.618927,1143.165852,0.549141,3.859930,8.599919
27 Jan 2026 17:02:20.000,6897.262124,-2164.913104,1229.105688,0.485345,3.881174,8.587909
27 Jan 2026 17:02:30.000,6901.797408,-2125.996653,1314.921276,0.421746,3.902055,8.575070
27 Jan 2026 17:02:40.000,6905.697760,-2086.873239,1400.604360,0.358362,3.922566,8.561411
27 Jan 2026 17:02:50.000,6908.965439,-2047.546571,1486.146784,0.295214,3.942705,8.546940
27 Jan 2026 17:03:00.000,6911.602900,-2008.020393,1571.540493,0.232322,3.962468,8.531669
27 Jan 2026 17:03:10.000,6913.612792,-1968.298485,1656.777536,0.169704,3.981851,8.515609
27 Jan 2026 17:03:20.000,6914.997949,-1928.384655,1741.850076,0.107378,4.000851,8.498771
27 Jan 2026 17:03:30.000,6915.761394,-1888.282740,1826.750393,0.045364,4.019467,8.481166
27 Jan 2026 17:03:40.000,6915.906327,-1847.996601,1911.470885,-0.016321,4.037696,8.462808
27 Jan 2026 17:03:50.000,6915.436127,-1807.530116,1996.004077,-0.077660,4.055536,8.443708
27 Jan 2026 17:04:00.000,6914.354342,-1766.887182,2080.342620,-0.138635,4.072985,8.423880
