Frame_Time_Budget_s,Frame_Energy_Budget_j
9.777988090003738,4.135219144324887
9.778251473322143,4.135690213212473
9.778390555601815,4.136110152716686
9.77840593067067,4.1364791152474725
9.7783120363887,4.136782885482603
9.778072138689655,4.137065416551786
9.777716400452737,4.137281054204305
9.777237977447353,4.137445551875646
9.77663574897224,4.1375585226009575
9.775955569050083,4.137618607822121
9.77507245536438,4.137633516892425
9.774102222847542,4.137593165761145
9.773011834029253,4.137502031152757
9.771868305967214,4.137368136515358
9.770478529657453,4.1371703987619455
9.769026499149222,4.136927209447654
9.767455753816535,4.136633593763273
9.765860661356822,4.136309110910572
9.76397375654662,4.135901004395758
9.762052541489501,4.135458695253953
9.760015894412435,4.134967068145286
9.757982549248124,4.134456025027019
9.755613976086899,4.133842344170047
9.753239234965134,4.133205953995073
9.750753752053894,4.132521905980669
9.748300899436693,4.131830636922784
9.745470162005214,4.131017915707995
9.742661553491308,4.130194223502754
9.739748169776464,4.129325017831733
9.736898923129882,4.128461734184589
9.73362748783878,4.127457382653585
9.730408748583956,4.126454953381335
9.727091390827718,4.125409172108161
9.723870830062491,4.124382963471762
9.720185787395799,4.123196835264825
9.716581084873676,4.1220244838164986
9.712887677415477,4.1208124702528455
9.709325130826693,4.119634293067932
9.705256120478717,4.118277397499377
9.701295066388445,4.116946323123636
9.697493229481692,4.115660943996396
9.693155667894162,4.114183306033535
9.688953023059536,4.112742825395174
9.684919714497369,4.111352758111323
9.680343160813312,4.109766128538621
9.675916785506448,4.108223163156587
9.671672520154004,4.106736386507366
9.666877679674089,4.105048814025086
9.662246917604442,4.103410964753002
9.657812877218163,4.101835784377748
9.652820441658362,4.100055365309381
9.648004759957127,4.098330334153746
9.643402071653984,4.096675081205092
9.638233805566538,4.094810421359615
9.633254585104126,4.093006771183628
9.628507368022424,4.091281105172999
9.623184314253837,4.089340562228976
9.618062102985386,4.0874665506741215
9.613193268554475,4.08567967941199
9.607738069885611,4.083672347610931
9.602785269176106,4.081844119685392
9.597253506120166,4.079797005151061
9.59194951671925,4.077828384794634
9.586923652114608,4.075958274084424
9.581297956879423,4.0738598262682215
9.57621502293962,4.071959290494211
9.570536549763192,4.069830730331572
9.565422156194918,4.067909775752993
9.559701027796862,4.065755190228994
9.55424875814864,4.063697600084863
9.549103510832177,4.0617521115038695
9.543354578726767,4.059573587169907
9.538178138829345,4.057608178740644
9.532422705014495,4.055418804309538
9.527239152201195,4.053442997623675
9.521488195058934,4.051247301122426
9.516309682360799,4.049266206563986
9.51057144288728,4.0470676392006375
9.505407314943604,4.045085191072305
9.49969277741954,4.042888389127407
9.494553759431883,4.040909127369415
9.488871679313936,4.038717798319008
9.483768536611832,4.036746296669443
9.478127250486365,4.034563988097746
9.473071818274795,4.032605292459695
9.467480141453791,4.030435775350166
9.462481108538695,4.028493609085106
9.45694890347821,4.0263411170793235
9.452017152773678,4.0244201546510965
9.446844148088942,4.0224022134470925
9.441409862169271,4.020279584711231
9.43657653646572,4.01838946914735
9.431249229193293,4.016303752219512
9.426495872830033,4.014440414151551
9.421268468181639,4.0123892020524305
9.416604933818643,4.010556935089299
9.411748732777756,4.008647181336664
9.40667407354064,4.00664959984677
9.402162513434513,4.004871491390271
9.397218382309074,4.002921358895776
9.392819822824032,4.001184497800885
9.388254619531546,3.9993804735057816
9.38348827443256,3.997495135731844
9.379278240817607,3.9958285309459036
9.374658891763433,3.9939981338784554
9.37058434261695,3.99238275075425
9.366349277016466,3.9907020759535494
9.361940423357112,3.988951133840044
9.358062111802766,3.9874099597349155
9.354049646460503,3.985814425024953
9.349893151550779,3.9841608024185327
9.34623168707393,3.9827030682601974
9.342458026679134,3.981200048202891
9.338562525453513,3.979647993070274
9.33513648344969,3.9782821186620265
9.331618076936698,3.976879144814912
9.327990874190519,3.975432382484146
9.324817877018514,3.974166423292256
9.321568251513343,3.972869831616583
9.318217869158762,3.9715326472801715
9.315315568252581,3.970374712662729
